01-ai | 01.AI | AI API / SDK for Developers | usage | free tier | high lock-in
gupshup | Gupshup | Messaging API (Email / SMS / Voice) | usage | free tier | medium lock-in
guru-kb | Guru | Developer Documentation / DevRel | seat | no free tier | medium lock-in
gymnasium | Gymnasium | AI API / SDK for Developers | free | free tier | low lock-in
h5py | h5py | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
habana-labs-intel | Habana Labs (Intel) | AI API / SDK for Developers | custom | no free tier | high lock-in
hackernoon | HackerNoon | Customer Support SDK / In-app Helpdesk | free | free tier | medium lock-in
hackerone | HackerOne | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
hackerrank | Hackerrank | Developer Documentation / DevRel | freemium | free tier | medium lock-in
hadean | Hadean | Backend-as-a-Service | custom | no free tier | high lock-in
hadron | Hadron | No-code / Low-code App Builders | freemium | free tier | high lock-in
haiku-deepmind | Haiku (DeepMind) | AI API / SDK for Developers | free | free tier | low lock-in
hailuo-ai | Hailuo AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
halon | Halon | Messaging API (Email / SMS / Voice) | custom | no free tier | medium lock-in
haloy | Haloy | CI/CD for Applications | free | free tier | low lock-in
hamilton | Hamilton | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
hammerspoon | Hammerspoon | No-code / Low-code App Builders | free | free tier | low lock-in
hamming | Hamming | AI API / SDK for Developers | custom | no free tier | medium lock-in
hanko | Hanko | Identity / Auth / User Management | subscription, $5/mo | free tier | low lock-in
hanwha-vision-cloud | Hanwha Vision Cloud | AI API / SDK for Developers | custom | no free tier | high lock-in
happo | Happo | Test Automation / Device Cloud | subscription | no free tier | medium lock-in
happy-dom | Happy DOM | Test Automation / Device Cloud | free | free tier | low lock-in
happykit | HappyKit | Feature Flags / Remote Config | freemium | free tier | medium lock-in
haproxy | HAProxy | CDN / Edge / Acceleration | free | free tier | low lock-in
haproxy-technologies | HAProxy Technologies | CDN / Edge / Acceleration | subscription | no free tier | low lock-in
haptik | Haptik | Customer Support SDK / In-app Helpdesk | custom | no free tier | high lock-in
harbor | Harbor | CDN / Edge / Acceleration | free | free tier | low lock-in
hardhat | Hardhat | Developer Portals / API Management | free | free tier | low lock-in
harness | Harness | CI/CD for Applications | freemium | free tier | medium lock-in
harness-sto | Harness STO | Security Scanning / Mobile App Sec | subscription | no free tier | medium lock-in
harperdb | HarperDB | DBaaS / Serverless Databases | freemium | free tier | medium lock-in
harvester | Harvester | CDN / Edge / Acceleration | free | free tier | low lock-in
harvey | Harvey | AI API / SDK for Developers | custom | no free tier | high lock-in
hashboard | Hashboard | Data Integration / ETL / Reverse ETL | subscription | no free tier | medium lock-in
hashicorp-vault | HashiCorp Vault | Secrets Management | freemium | free tier | low lock-in
hashnode | Hashnode | Customer Support SDK / In-app Helpdesk | freemium | free tier | low lock-in
hasty-ai | Hasty AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
hasura | Hasura | Backend-as-a-Service | subscription, $0 | free tier | low lock-in
hatch | Hatch | CDN / Edge / Acceleration | free | free tier | low lock-in
hatchet | Hatchet | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
hathora | Hathora | Backend-as-a-Service | usage | free tier | medium lock-in
hatica | Hatica | Observability / Logging / Tracing | subscription | no free tier | medium lock-in
haus-io | Haus | Mobile Attribution / MMP | custom | no free tier | high lock-in
hawk-ai | Hawk AI | Fraud & Risk Management | custom | no free tier | high lock-in
hawksearch | Hawksearch | Search / Recommendations API | custom | no free tier | high lock-in
haystack | Haystack | AI API / SDK for Developers | free | free tier | low lock-in
haystack-analytics | Haystack Analytics | Observability / Logging / Tracing | subscription | no free tier | medium lock-in
hazy | Hazy | AI API / SDK for Developers | custom | no free tier | medium lock-in
hcaptcha-enterprise | hCaptcha Enterprise | Fraud & Risk Management | custom | no free tier | medium lock-in
hcl-appscan | HCL AppScan | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
hdiv-security | Hdiv Security | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
headlamp | Headlamp | CDN / Edge / Acceleration | free | free tier | low lock-in
headless-ui | Headless UI | No-code / Low-code App Builders | free | free tier | low lock-in
headscale | Headscale | Security Scanning / Mobile App Sec | free | free tier | low lock-in
headspin | HeadSpin | Test Automation / Device Cloud | subscription, $49 | free tier | high lock-in
headway | Headway | Developer Documentation / DevRel | freemium | free tier | low lock-in
health-gorilla | Health Gorilla | Compliance Automation | custom | no free tier | medium lock-in
healthchecks | Healthchecks | Observability / Logging / Tracing | freemium | free tier | low lock-in
healthie | Healthie | Backend-as-a-Service | subscription | no free tier | medium lock-in
heap | Heap | Product Analytics | subscription, $1.7 | no free tier | medium lock-in
hedra | Hedra | AI API / SDK for Developers | freemium | free tier | medium lock-in
heidisql | HeidiSQL | DBaaS / Serverless Databases | free | free tier | low lock-in
height | Height | Real-time / WebSocket Infrastructure | freemium | free tier | medium lock-in
helcim | Helcim | Payment Gateway / PSP | usage | no free tier | medium lock-in
helicone | Helicone | Developer Portals / API Management | freemium, $79 | free tier | low lock-in
helicone-ai | Helicone AI | AI API / SDK for Developers | freemium | free tier | low lock-in
helidon | Helidon | Backend-as-a-Service | free | free tier | low lock-in
helika | Helika | Product Analytics | custom | no free tier | high lock-in
helios | Helios | Performance Monitoring / APM | freemium | free tier | low lock-in
helium | Helium | Test Automation / Device Cloud | free | free tier | low lock-in
helius | Helius | Backend-as-a-Service | freemium | free tier | medium lock-in
helix-editor | Helix Editor | Code Assistants / Agent Tooling | free | free tier | low lock-in
hellotax | hellotax | Invoicing / Taxes / Sales Tax | subscription | no free tier | medium lock-in
helm | Helm | CDN / Edge / Acceleration | free | free tier | low lock-in
helm-dashboard | Helm Dashboard | CDN / Edge / Acceleration | free | free tier | low lock-in
helm-dashboard-komodor | Helm Dashboard (Komodor) | CDN / Edge / Acceleration | freemium | free tier | low lock-in
helmfile | Helmfile | CDN / Edge / Acceleration | free | free tier | low lock-in
help-scout | Help Scout | Customer Support SDK / In-app Helpdesk | seat | no free tier | medium lock-in
helpcrunch | HelpCrunch | Release / App Store Operations | subscription, 14.8 | no free tier | medium lock-in
helpdocs | HelpDocs | Developer Portals / API Management | subscription | no free tier | medium lock-in
helpjuice | Helpjuice | Developer Portals / API Management | subscription | no free tier | medium lock-in
helpshift | Helpshift | Release / App Store Operations | seat | no free tier | high lock-in
helpstack | HelpStack | Release / App Store Operations | unknown | no free tier | low lock-in
here-maps | HERE Maps | Maps / Geolocation / Routing | freemium | free tier | medium lock-in
here-maps-js | HERE Maps JS | Maps / Geolocation / Routing | freemium | free tier | medium lock-in
here-technologies | HERE Technologies | Maps / Geolocation / Routing | seat, $1 | free tier | medium lock-in
hermit | Hermit | Monorepo & Build Systems | free | free tier | low lock-in
heroic-labs | Heroic Labs | Backend-as-a-Service | freemium | free tier | low lock-in
heroku | Heroku | Backend-as-a-Service | usage | no free tier | medium lock-in
heron-data | Heron Data | KYC / KYB / AML API | custom | no free tier | medium lock-in
hetrixtools | HetrixTools | Observability / Logging / Tracing | freemium | free tier | low lock-in
hetzner-cloud | Hetzner Cloud | CDN / Edge / Acceleration | usage | no free tier | medium lock-in
hevo-data | Hevo Data | Compliance Automation | freemium, $239/month | free tier | medium lock-in
hex-magic | Hex Magic | AI API / SDK for Developers | freemium | free tier | medium lock-in
hex-technologies | Hex Technologies | Data Integration / ETL / Reverse ETL | freemium | free tier | medium lock-in
heyboss | HeyBoss | AI API / SDK for Developers | freemium | free tier | high lock-in
heybounce | Heybounce | Messaging API (Email / SMS / Voice) | usage | free tier | low lock-in
heygen | HeyGen | AI API / SDK for Developers | freemium | free tier | medium lock-in
hibernate | Hibernate | DBaaS / Serverless Databases | free | free tier | low lock-in
hiddenlayer | HiddenLayer | AI API / SDK for Developers | custom | no free tier | high lock-in
higgsfield-ai | Higgsfield | AI API / SDK for Developers | freemium | free tier | medium lock-in
higher-logic | Higher Logic | CRM / Lifecycle Automation | custom | no free tier | high lock-in
highlight | Highlight | Session Replay / UX Analytics | freemium | free tier | low lock-in
highlight-io | Highlight.io | Observability / Logging / Tracing | freemium, $50.00 | free tier | low lock-in
highnote | Highnote | Payment Gateway / PSP | custom | no free tier | high lock-in
highradius | HighRadius | Invoicing / Taxes / Sales Tax | custom | no free tier | high lock-in
hightouch | Hightouch | Compliance Automation | freemium, $500 | free tier | low lock-in
higress | Higress | Developer Portals / API Management | free | free tier | low lock-in
hilltopads | HilltopAds | Code Assistants / Agent Tooling | subscription, $100 | no free tier | medium lock-in
hitpay | HitPay | Payment Gateway / PSP | usage | no free tier | medium lock-in
hive-guard | Hive Guard | Fraud & Risk Management | usage | no free tier | low lock-in
hive-moderation | Hive Moderation | Localization / Translation API | unknown | no free tier | low lock-in
hivebrite | Hivebrite | Customer Support SDK / In-app Helpdesk | custom | no free tier | high lock-in
hivemq | HiveMQ | Backend-as-a-Service | freemium | free tier | low lock-in
hiver | Hiver | Customer Support SDK / In-app Helpdesk | seat | no free tier | medium lock-in
hmpl | HMPL | Developer Portals / API Management | free | free tier | low lock-in
hoko | HOKO | Mobile Attribution / MMP | freemium | free tier | medium lock-in
holidu-api | Holidu API | Developer Portals / API Management | custom | no free tier | medium lock-in
holistics | Holistics | Data Integration / ETL / Reverse ETL | freemium | free tier | medium lock-in
holm-security | Holm Security | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
holori | Holori | Observability / Logging / Tracing | freemium | free tier | low lock-in
holoride | Holoride | Maps / Geolocation / Routing | custom | no free tier | high lock-in
homebrew | Homebrew | CDN / Edge / Acceleration | free | free tier | low lock-in
homebrew-cask | Homebrew Cask | CI/CD for Applications | free | free tier | low lock-in
honeybadger | Honeybadger | Performance Monitoring / APM | subscription | free tier | medium lock-in
honeycomb | Honeycomb | Performance Monitoring / APM | event, $130/mo (100M events) | free tier | low lock-in
honeyhive | HoneyHive | AI API / SDK for Developers | freemium | free tier | medium lock-in
hono | Hono | Backend-as-a-Service | free | free tier | low lock-in
hook0 | Hook0 | Real-time / WebSocket Infrastructure | freemium | free tier | low lock-in
hookbin | Hookbin | Developer Portals / API Management | free | free tier | low lock-in
hookdeck | Hookdeck | Real-time / WebSocket Infrastructure | freemium | free tier | low lock-in
hooyu | HooYu | KYC / KYB / AML API | custom | no free tier | medium lock-in
hoppscotch | Hoppscotch | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
